trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.4999995000000417}",20,0,-27.118117479451154,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.6, 'e': 1.4999980000006667}",25,0,-23.433435012363336,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 1.499995500003375}",20,0,-83.58823904043965,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 1.4999920000106668}",30,0,-222.51901467751637,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
5,False,"{'a': 0.6, 'e': 1.4999875000260416}",20,0,-96.04544528435643,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 1.499982000054}",20,5,-37.595876163800135,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.6, 'e': 1.4999755001000414}",35,0,-189.40621701920873,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.6, 'e': 1.4999680001706663}",30,10,-41.79608082435025,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.6, 'e': 1.4999595002733743}",20,6,-33.14061474462485,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.6, 'e': 1.4999500004166653}",25,0,-186.8866084013299,"{0: 10, 1: 3, 2: 8, 3: 3, 4: 1}",0
11,False,"{'a': 0.6, 'e': 1.4999395006100391}",35,23,7.074407230415588,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 1.4999280008639957}",25,0,-230.8402459592043,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
13,False,"{'a': 0.6, 'e': 1.499915501190035}",20,0,-100.15886156525859,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 1.4999020016006561}",25,0,-92.82733358498973,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 1.4998875021093592}",25,0,-83.42871353436225,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 1.4998720027306434}",25,0,-131.94331255470297,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.6, 'e': 1.499855503480008}",35,0,-304.8093536252986,"{0: 14, 1: 5, 2: 10, 3: 2, 4: 4}",0
18,False,"{'a': 0.6, 'e': 1.4998380043739528}",20,0,-95.25094945503588,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 1.4998195054299763}",20,0,-70.27590060833016,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.6, 'e': 1.4998000066665778}",25,0,-51.9443917347471,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.6, 'e': 1.4997795081032559}",30,0,-222.3972754826285,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
22,False,"{'a': 0.6, 'e': 1.4997580097605092}",30,0,-205.20634391908447,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
23,False,"{'a': 0.6, 'e': 1.499735511659836}",25,0,-58.912845126345054,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
