trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.297857709262274,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-22.537581058342905,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.26186792425139,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.35100503169808,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-28.701231181985325,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.26545829774482,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.618435341485393,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.07577676024786,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.700408651149392,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-26.885574978716487,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-36.5435749747662,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.681817918161784,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-36.9575385017053,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.23490444843882,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.133879264452677,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.216370389613267,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-33.83734149138023,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.094411084575555,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.03670048134326,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-15.395552756843273,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-34.369278292289316,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.664480182344455,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.141198677215257,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.29259248745007,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-52.65395697446736,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.388642096354545,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-12.889347625903,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-7.098112138808307,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-34.91604101525445,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-16.299034540939786,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.400174779146226,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.5, 'e': 1.0}",25,0,-38.08581711791099,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.5, 'e': 1.0}",30,0,-44.316703903931355,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.12271371013014,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.5, 'e': 1.0}",25,0,-20.6400604837692,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.50978781525979,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.43916580562771,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.5, 'e': 1.0}",30,0,-27.73054537847059,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.5, 'e': 1.0}",25,0,0.6384434197988837,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.5, 'e': 1.0}",20,0,-7.462830111757558,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.5, 'e': 1.0}",25,0,-29.401259563515506,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.5, 'e': 1.0}",25,0,-37.866437281960884,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.5, 'e': 1.0}",30,0,-49.7921195127643,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.60278370925278,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.04832082175494,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.5, 'e': 1.0}",35,0,-11.8046413808005,"{0: 25, 1: 10, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.5, 'e': 1.0}",25,0,-30.87092307107419,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.5, 'e': 1.0}",25,0,-13.107335852692325,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.5, 'e': 1.0}",20,0,-2.5613122284911514,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.49913002702468,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.5, 'e': 1.0}",25,0,-37.19668658737945,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.138990654205074,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.5, 'e': 1.0}",20,0,-6.4583804787641315,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.5, 'e': 1.0}",30,0,-45.77637283765183,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.5, 'e': 1.0}",20,0,-11.787695781594895,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0.5, 'e': 1.0}",25,0,-7.593119527085779,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0.5, 'e': 1.0}",25,0,-41.26251332947905,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.938945364873756,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
